年月,港口別,總計,國際貨櫃貨,散雜貨,管道貨
200211,國際商港,54331233,37815813,11765909,4749511
200211,基隆港,7422546,5807286,1283366,331894
200211,臺中港,7236563,3946248,2437421,852894
200211,高雄港,37321525,28051263,6059488,3210774
200211,花蓮港,1525618,0,1463013,62605
200211,臺北港,0,0,0,0
200211,蘇澳港,504838,0,266254,238584
200211,安平港,320143,11016,256367,52760
200212,國際商港,54396664,37623051,12013340,4760273
200212,基隆港,7867300,6174297,1282259,410744
200212,臺中港,7294927,3898188,2542738,854001
200212,高雄港,36811627,27540306,6125788,3145533
200212,花蓮港,1638593,0,1583693,54900
200212,臺北港,0,0,0,0
200212,蘇澳港,420706,0,168611,252095
200212,安平港,363511,10260,310251,43000
200301,國際商港,49042268,32732118,11505713,4804437
200301,基隆港,7274318,5779944,1132975,361399
200301,臺中港,6779084,3529944,2366074,883066
200301,高雄港,32574915,23405598,5797581,3371736
200301,花蓮港,1569035,0,1549840,19195
200301,臺北港,0,0,0,0
200301,蘇澳港,430233,0,295092,135141
200301,安平港,414683,16632,364151,33900
200302,國際商港,47605025,32913099,10129937,4561989
200302,基隆港,6062822,4635153,1120010,307659
200302,臺中港,5899381,3096612,2210095,592674
200302,高雄港,33836860,25170390,5264005,3402465
200302,花蓮港,1058197,0,1027905,30292
200302,臺北港,0,0,0,0
200302,蘇澳港,436977,0,236578,200399
200302,安平港,310788,10944,271344,28500
200303,國際商港,54437720,38257236,11700774,4479710
200303,基隆港,7907888,6299505,1334461,273922
200303,臺中港,7266003,3926790,2474829,864384
200303,高雄港,37071376,28015785,5942896,3112695
200303,花蓮港,1318111,0,1301885,16226
200303,臺北港,0,0,0,0
200303,蘇澳港,440627,0,259644,180983
200303,安平港,433715,15156,387059,31500
200304,國際商港,55330127,38037312,12401135,4891680
200304,基隆港,7660540,6065397,1351559,243584
200304,臺中港,7662472,3797730,3159210,705532
200304,高雄港,37935162,28163745,6125690,3645727
200304,花蓮港,1233723,0,1204581,29142
200304,臺北港,0,0,0,0
200304,蘇澳港,452807,0,218812,233995
200304,安平港,385423,10440,341283,33700
200305,國際商港,53577549,36369099,12048547,5159903
200305,基隆港,7972897,6091200,1499454,382243
200305,臺中港,6946174,3781008,2459955,705211
200305,高雄港,36105397,26496891,5876033,3732473
200305,花蓮港,1657164,0,1611547,45617
200305,臺北港,0,0,0,0
200305,蘇澳港,454679,0,194120,260559
200305,安平港,441238,0,407438,33800
200306,國際商港,50743852,34872768,11745421,4125663
200306,基隆港,7733834,6036714,1398044,299076
200306,臺中港,7026458,3604770,2720142,701546
200306,高雄港,33593635,25218792,5542720,2832123
200306,花蓮港,1554663,0,1530615,24048
200306,臺北港,0,0,0,0
200306,蘇澳港,465739,0,238302,227437
200306,安平港,369523,12492,315598,41433
200307,國際商港,53478799,36546192,12124055,4808552
200307,基隆港,8016107,6049449,1639624,327034
200307,臺中港,7221909,3627918,2786078,807913
200307,高雄港,35938291,26851077,5609682,3477532
200307,花蓮港,1478319,0,1473346,4973
200307,臺北港,0,0,0,0
200307,蘇澳港,472492,0,315892,156600
200307,安平港,351681,17748,299433,34500
200308,國際商港,54358176,37484370,12428304,4445502
200308,基隆港,7796709,5808303,1614750,373656
200308,臺中港,6975131,3637548,2631924,705659
200308,高雄港,37167843,28028043,6148154,2991646
200308,花蓮港,1583619,0,1519031,64588
200308,臺北港,0,0,0,0
200308,蘇澳港,489748,0,206295,283453
200308,安平港,345126,10476,308150,26500
200309,國際商港,50925965,35053200,11271944,4600821
200309,基隆港,7664989,5990778,1296399,377812
200309,臺中港,6819198,3786660,2409704,622834
200309,高雄港,34119998,25260894,5531586,3327518
200309,花蓮港,1483145,0,1478246,4899
200309,臺北港,0,0,0,0
200309,蘇澳港,496439,0,256181,240258
200309,安平港,342196,14868,299828,27500
200310,國際商港,55627947,37456110,13491840,4679997
200310,基隆港,8531776,6450426,1772880,308470
200310,臺中港,7435625,3973356,2681421,780848
200310,高雄港,37128451,27021528,6807605,3299318
200310,花蓮港,1644751,0,1617233,27518
200310,臺北港,0,0,0,0
200310,蘇澳港,512394,0,285051,227343
200310,安平港,374950,10800,327650,36500
200311,國際商港,54340601,37006884,12086641,5247076
200311,基隆港,7953157,6271407,1374429,307321
200311,臺中港,7039722,3795192,2440119,804411
200311,高雄港,36753272,26915121,6022591,3815560
200311,花蓮港,1671667,0,1589340,82327
200311,臺北港,0,0,0,0
200311,蘇澳港,513722,0,333465,180257
200311,安平港,409061,25164,326697,57200
200312,國際商港,56109374,38682711,12451910,4974753
200312,基隆港,8528901,6547158,1708493,273250
200312,臺中港,7502810,4299444,2379314,824052
200312,高雄港,37418414,27813285,5969414,3635715
200312,花蓮港,1804341,0,1785312,19029
200312,臺北港,0,0,0,0
200312,蘇澳港,456933,0,288226,168707
200312,安平港,397975,22824,321151,54000
200401,國際商港,53569254,35733627,12690629,5144998
200401,基隆港,6799037,5443452,1063614,291971
200401,臺中港,6820847,3449736,2711899,659212
